,NVDA,^NDX
count,2606.0,2606.0
mean,0.001874797902908197,0.0005956094626863864
std,0.028474906513707914,0.013486422022529527
min,-0.20771199970074541,-0.13003150583375683
25%,-0.01099835045726744,-0.004725481186125919
50%,0.0014236795496116376,0.0008238869623975702
75%,0.015389845660886239,0.007313444501491899
max,0.2608759166224154,0.09596639289383774
skew,0.23745510585792978,-0.543279493934882
kurtosis,8.47572138556149,8.020927076464043
