,cond_vol
count,2606.0
mean,19.26799584746784
std,9.603980506941925
min,9.223269221007751
25%,13.126541795650867
50%,16.663236113275854
75%,22.834584807973044
max,118.23116876468897
skew,3.31496353971427
kurtosis,20.656933747386326
