,spec,order,dist,MSE,MAE,jb_p,lb_pval,arch_p
0,GARCH,"(1, 1)",normal,18.95681429577565,3.4912097136515072,0.0,0.025347533029320565,0.9478939941632873
1,GARCH,"(1, 1)",t,21.254073538042693,3.768303265335248,0.0,0.03793882303058551,0.9467727242424238
2,GARCH,"(1, 1)",skewt,21.250556113937805,3.76788248256709,0.0,0.037852169220957126,0.94642006383033
3,GARCH,"(1, 2)",normal,18.95705498141715,3.491239645531302,0.0,0.025347982722550084,0.9478889234814688
4,GARCH,"(1, 2)",t,21.466478480939372,3.7930908779524595,0.0,0.03934694437907096,0.967331722675037
5,GARCH,"(1, 2)",skewt,21.47117295491944,3.793637261057787,0.0,0.03941483269155911,0.96754444793149
6,GARCH,"(2, 1)",normal,18.961426008918796,3.4918007676306098,0.0,0.0254418177283531,0.947283916651802
7,GARCH,"(2, 1)",t,21.253832146849952,3.768274420991986,0.0,0.03793296329167881,0.9467692103420543
8,GARCH,"(2, 1)",skewt,21.24987545740433,3.767802030964278,0.0,0.03784292012532614,0.9464474997216867
