,F-stat,p-value,Significant (5%),Direction
1,36.71689618434029,1.563718704288452e-09,True,^NDX → NVDA
2,18.81466542190574,7.717595680698859e-09,True,^NDX → NVDA
3,12.599545237929474,3.548403581880503e-08,True,^NDX → NVDA
4,9.347717719502429,1.6870366039128405e-07,True,^NDX → NVDA
5,8.369559163383432,7.306933584021641e-08,True,^NDX → NVDA
6,6.811607952853321,3.5006823368359016e-07,True,^NDX → NVDA
7,5.966402072026279,6.573525699403686e-07,True,^NDX → NVDA
8,5.180762878915973,1.9419752648036427e-06,True,^NDX → NVDA
9,4.527460003418844,6.209764546332706e-06,True,^NDX → NVDA
10,4.0838568190003555,1.3383658770057609e-05,True,^NDX → NVDA
