Ticker,Order,AIC,BIC,LogLik,LBQ Stat,LBQ p,Params,StdErr,t-Stat,p-Value
NVDA,"GARCH(1, 1)",12516.899882550739,12540.362169581478,-6254.449941275369,25.13761636187022,0.19621688145517005,"{'mu': 0.2609575416444007, 'omega': 0.5696144937223235, 'alpha[1]': 0.11451243484381524, 'beta[1]': 0.821045529066673}","{'mu': 0.05924579422520101, 'omega': 0.23010096809035083, 'alpha[1]': 0.04415519283851604, 'beta[1]': 0.0563280359862576}","{'mu': 4.404659352737631, 'omega': 2.475498032231921, 'alpha[1]': 2.5934081017969746, 'beta[1]': 14.576143383855674}","{'mu': 1.0595023458394848e-05, 'omega': 0.013305049491438207, 'alpha[1]': 0.009502993217725148, 'beta[1]': 3.9839604690102975e-48}"
NVDA,"GARCH(1, 2)",12518.899882870228,12548.227741658651,-6254.449941435114,25.137576160417307,0.19621838991172785,"{'mu': 0.2609550519628121, 'omega': 0.5695739557013016, 'alpha[1]': 0.11450808848937942, 'beta[1]': 0.8210523574049652, 'beta[2]': 0.0}","{'mu': 0.061146862988783295, 'omega': 0.518875207122473, 'alpha[1]': 0.1071425132024827, 'beta[1]': 1.2394515797219114, 'beta[2]': 1.084471321753983}","{'mu': 4.267676855486133, 'omega': 1.0977089440445396, 'alpha[1]': 1.0687455900252865, 'beta[1]': 0.6624319746231474, 'beta[2]': 0.0}","{'mu': 1.9751916618697405e-05, 'omega': 0.2723316029720486, 'alpha[1]': 0.2851843225204266, 'beta[1]': 0.507694417467299, 'beta[2]': 1.0}"
NVDA,"GARCH(2, 1)",12518.884429432608,12548.212288221031,-6254.442214716304,25.14463019653107,0.1959538370411204,"{'mu': 0.2606117223386153, 'omega': 0.5789438991258797, 'alpha[1]': 0.11158453400191991, 'alpha[2]': 0.004689131284542667, 'beta[1]': 0.8182759521059549}","{'mu': 0.05980608756562249, 'omega': 0.2543255884574415, 'alpha[1]': 0.06278195294361676, 'alpha[2]': 0.06481640975807983, 'beta[1]': 0.06305233766273842}","{'mu': 4.3576119580244725, 'omega': 2.276388713527972, 'alpha[1]': 1.7773345487059282, 'alpha[2]': 0.07234481672225195, 'beta[1]': 12.977725845516519}","{'mu': 1.31489241328087e-05, 'omega': 0.022822754596291194, 'alpha[1]': 0.07551321253388402, 'alpha[2]': 0.9423274995233808, 'beta[1]': 1.6366832688772605e-38}"
^NDX,"GARCH(1, 1)",7963.226065785193,7986.688352815932,-3977.6130328925965,27.77629218014926,0.11480167317496955,"{'mu': 0.0981643531005314, 'omega': 0.04667400828253171, 'alpha[1]': 0.14741112624991012, 'beta[1]': 0.8287081968739598}","{'mu': 0.02005123998631197, 'omega': 0.012818366150350742, 'alpha[1]': 0.023754933589323093, 'beta[1]': 0.024767493263344518}","{'mu': 4.89567493918299, 'omega': 3.6411823265989787, 'alpha[1]': 6.205495195160875, 'beta[1]': 33.45951033730306}","{'mu': 9.796889366063538e-07, 'omega': 0.0002713888490416199, 'alpha[1]': 5.452493737068915e-10, 'beta[1]': 1.8718235659006556e-245}"
^NDX,"GARCH(1, 2)",7964.569761171638,7993.897619960062,-3977.284880585819,28.15471870861164,0.1057871506317359,"{'mu': 0.09867133623623078, 'omega': 0.054370138516548615, 'alpha[1]': 0.17622608742853835, 'beta[1]': 0.5580195745074797, 'beta[2]': 0.23812968968739923}","{'mu': 0.020050788553162176, 'omega': 0.018281879192162946, 'alpha[1]': 0.049289499683933716, 'beta[1]': 0.3864136888566665, 'beta[2]': 0.3401900594590445}","{'mu': 4.9210701102660375, 'omega': 2.9739906901833124, 'alpha[1]': 3.575327170260983, 'beta[1]': 1.4440988779630617, 'beta[2]': 0.6999901468786676}","{'mu': 8.607228760579514e-07, 'omega': 0.002939539935979389, 'alpha[1]': 0.00034979019016156504, 'beta[1]': 0.1487111636723724, 'beta[2]': 0.4839334578191504}"
^NDX,"GARCH(2, 1)",7965.226065800831,7994.553924589255,-3977.6130329004154,27.776317309503664,0.11480105424627517,"{'mu': 0.09816384250691461, 'omega': 0.046674604525471106, 'alpha[1]': 0.1474103380726851, 'alpha[2]': 0.0, 'beta[1]': 0.8287081690024887}","{'mu': 0.020030116738749146, 'omega': 0.01447635864059131, 'alpha[1]': 0.038362805885678836, 'alpha[2]': 0.04482325090451086, 'beta[1]': 0.030974751157409306}","{'mu': 4.9008123011591, 'omega': 3.224195095208321, 'alpha[1]': 3.8425327519568806, 'alpha[2]': 0.0, 'beta[1]': 26.754312400803833}","{'mu': 9.544120874867397e-07, 'omega': 0.001263273035593617, 'alpha[1]': 0.00012177115814623081, 'alpha[2]': 1.0, 'beta[1]': 1.1000595894016093e-157}"
