Date,Volatility,Regime
2014-01-03,14.988254261636936,Normal
2014-01-06,14.885058501122149,Normal
2014-01-07,14.22271155202638,Normal
2014-01-08,14.200113364663789,Normal
2014-01-09,13.415945169220809,Normal
2014-01-10,13.072923090825595,Normal
2014-01-13,12.480719722957064,Normal
2014-01-14,15.266064084790319,Normal
2014-01-15,18.090235875800712,Normal
2014-01-16,17.374884126181556,Normal
2014-01-17,16.188351929073963,Normal
2014-01-20,15.64784301991796,Normal
2014-01-21,14.664008713656429,Normal
2014-01-22,14.316808226084675,Normal
2014-01-23,13.520562354522488,Normal
2014-01-24,13.112831452247466,Normal
2014-01-27,17.916094970909054,Normal
2014-01-28,17.78581498622072,Normal
2014-01-29,16.591698557590494,Normal
2014-01-30,17.089999834567053,Normal
2014-01-31,19.162686139542032,Normal
2014-02-03,17.941105884018477,Normal
2014-02-04,22.341613111461957,Normal
2014-02-05,21.141046642084927,Normal
2014-02-06,19.823764152731663,Normal
2014-02-07,19.618328842184486,Normal
2014-02-10,21.002387618768704,Normal
2014-02-11,19.632089130933558,Normal
2014-02-12,19.19436010139861,Normal
2014-02-13,17.810108848491215,Normal
2014-02-14,17.249790022805595,Normal
2014-02-17,16.07367117481873,Normal
2014-02-18,15.04085338312988,Normal
2014-02-19,14.253787979307726,Normal
2014-02-20,14.328391789580463,Normal
2014-02-21,13.730935308243069,Normal
2014-02-24,13.138609294023079,Normal
2014-02-25,12.86042491199416,Normal
2014-02-26,12.317471544768678,Normal
2014-02-27,11.769974171008812,Normal
2014-02-28,11.706140461329197,Normal
2014-03-03,11.259767809785114,Normal
2014-03-04,11.989374987651049,Normal
2014-03-05,13.907908362657153,Normal
2014-03-06,13.130383274461607,Normal
2014-03-07,12.540753045207799,Normal
2014-03-10,12.416894724172135,Normal
2014-03-11,11.81290033082695,Normal
2014-03-12,11.690464474604648,Normal
2014-03-13,11.352599267268547,Normal
2014-03-14,14.65208426643647,Normal
2014-03-17,14.505423671803763,Normal
2014-03-18,14.598018565437904,Normal
2014-03-19,15.271836828485661,Normal
2014-03-20,15.02102129158817,Normal
2014-03-21,14.153631190812385,Normal
2014-03-24,15.241390730295565,Normal
2014-03-25,15.734493791099037,Normal
2014-03-26,14.802404605675134,Normal
2014-03-27,16.30462255270946,Normal
2014-03-28,15.74227283235064,Normal
2014-03-31,14.758746816950675,Normal
2014-04-01,14.307506068158474,Normal
2014-04-02,16.734161937908862,Normal
2014-04-03,15.62910414793952,Normal
2014-04-04,15.578988434204781,Normal
2014-04-07,22.614834915062215,Normal
2014-04-08,21.735402065475466,Normal
2014-04-09,20.61846073226751,Normal
2014-04-10,21.553620330513937,Normal
2014-04-11,28.210953372702143,Normal
2014-04-14,27.05500985278772,Normal
2014-04-15,25.234781161769927,Normal
2014-04-16,23.289997671767008,Normal
2014-04-17,22.66998327756659,Normal
2014-04-18,20.923211461522147,Normal
2014-04-21,19.362653030267918,Normal
2014-04-22,18.34837876125971,Normal
2014-04-23,17.59102360194128,Normal
2014-04-24,17.44749366972402,Normal
2014-04-25,17.060295464424087,Normal
2014-04-28,19.063943929378524,Normal
2014-04-29,17.750019517703514,Normal
2014-04-30,17.084237022030283,Normal
2014-05-01,15.944594416109203,Normal
2014-05-02,14.989588585433498,Normal
2014-05-05,14.176960778127858,Normal
2014-05-06,13.560453272481588,Normal
2014-05-07,15.581324373255534,Normal
2014-05-08,14.77640774335638,Normal
2014-05-09,13.97819563904751,Normal
2014-05-12,13.33378726802916,Normal
2014-05-13,15.553234493003218,Normal
2014-05-14,14.59393331021237,Normal
2014-05-15,14.191292708052819,Normal
2014-05-16,14.408389443943895,Normal
2014-05-19,13.919956867630637,Normal
2014-05-20,13.786692582329911,Normal
2014-05-21,13.394721226280183,Normal
2014-05-22,13.749672572018595,Normal
2014-05-23,13.124250257975286,Normal
2014-05-26,12.99921642129377,Normal
2014-05-27,12.335096910488797,Normal
2014-05-28,13.636768343516627,Normal
2014-05-29,13.095385012705995,Normal
2014-05-30,12.821165431478082,Normal
2014-06-02,12.17219067564062,Normal
2014-06-03,11.664203013836534,Normal
2014-06-04,11.209647593662643,Normal
2014-06-05,10.88467575131813,Normal
2014-06-06,11.535582432382238,Normal
2014-06-09,11.271577145817194,Normal
2014-06-10,10.826651541747433,Normal
2014-06-11,10.437906260016916,Normal
2014-06-12,10.159647014453608,Normal
2014-06-13,11.591203359355093,Normal
2014-06-16,11.1714717794341,Normal
2014-06-17,10.733009771100768,Normal
2014-06-18,10.361803929271439,Normal
2014-06-19,10.517772577114094,Normal
2014-06-20,10.241976680869737,Normal
2014-06-23,9.939002370332739,Normal
2014-06-24,9.677490909844368,Normal
2014-06-25,9.575933263582238,Low
2014-06-26,10.126030715654283,Normal
2014-06-27,9.857849460655249,Normal
2014-06-30,9.852783331895205,Normal
2014-07-01,9.604723935813997,Low
2014-07-02,11.40022966549238,Normal
2014-07-03,10.931399835613599,Normal
2014-07-04,10.972977643597156,Normal
2014-07-07,10.578348170226727,Normal
2014-07-08,10.52648982985524,Normal
2014-07-09,12.890709010411479,Normal
2014-07-10,12.843022743252437,Normal
2014-07-11,12.461870614472629,Normal
2014-07-14,12.287586517287618,Normal
2014-07-15,12.148944572162598,Normal
2014-07-16,11.94394168786592,Normal
2014-07-17,11.607161701620194,Normal
2014-07-18,14.34536704712671,Normal
2014-07-21,16.254509610761612,Normal
2014-07-22,15.262030847565534,Normal
2014-07-23,14.767288688973354,Normal
2014-07-24,14.231296542929213,Normal
2014-07-25,13.443123561299029,Normal
