,cond_vol
count,2606.0
mean,43.890244669548544
std,13.536555576147025
min,28.19173466878038
25%,35.002177152604126
50%,39.76196191961614
75%,48.831447298213604
max,148.23843589383455
skew,2.665738026141441
kurtosis,11.405735889866595
