Ticker,Ljung-Box Returns Stat,Ljung-Box Returns p,Ljung-Box SqReturns Stat,Ljung-Box SqReturns p,ARCH-LM Stat (lag 1),ARCH-LM p (lag 1),ARCH-LM Stat (lag 5),ARCH-LM p (lag 5),ARCH-LM Stat (lag 10),ARCH-LM p (lag 10)
NVDA,57.7285848278912,1.5904383768795685e-05,202.30126750898924,3.942876341818782e-32,45.22467902839076,1.756772786184197e-11,76.98120741712226,3.5888163630529395e-15,92.25677156363804,1.9090667690945674e-15
^NDX,180.959912513957,6.297835274127258e-28,2648.997474731517,0.0,538.3421424004034,4.326103929955435e-119,697.3681602588036,1.820987625152789e-148,739.4658341545542,2.1041985360357295e-152
